Contracts,Order No.,Transaction Time(UTC+0),Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,478,2.2853,Market,0.0006,0.65542404,1a7024f0
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,478,2.2852,Market,0.0006,0.65539536,b4b61615
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,498,2.2851,Market,0.0006,0.68278788,79c8e61a
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,478,2.2850,Market,0.0006,0.655338,4156b08b
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,478,2.2847,Market,0.0006,0.65525196,957724bf
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,498,2.2846,Market,0.0006,0.68263848,f269c15d
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,498,2.2844,Market,0.0006,0.68257872,085c64b7
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,478,2.2844,Market,0.0006,0.65516592,aea3ae8d
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,498,2.2843,Market,0.0006,0.68254884,0f1497ea
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,1178,2.2842,Market,0.0006,1.61447256,9680bac8
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,498,2.2842,Market,0.0006,0.68251896,79cc7a03
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,478,2.2842,Market,0.0006,0.65510856,ed945282
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,100,2.2842,Market,0.0006,0.137052,570d73cb
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,92,2.2842,Market,0.0006,0.12608784,a17497d9
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,32.58,290.10,Market,0.0006,5.6708748,bd8258f5
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,29.12,290.10,Market,0.0006,5.0686272,b2114f89
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,1.51,290.05,Market,0.0006,0.2627853,fbe79d68
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,3.45,290.05,Market,0.0006,0.6004035,ed569be3
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,7.2,290.05,Market,0.0006,1.253016,f4d86e59
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,3.45,290.05,Market,0.0006,0.6004035,338a3085
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,3.45,290.05,Market,0.0006,0.6004035,08ac098e
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,18.43,290.05,Market,0.0006,3.2073729,871a96ae
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,18.43,290.05,Market,0.0006,3.2073729,20693f84
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.19,290.05,Market,0.0006,0.0330657,f05d23fb
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,17.75,290.00,Market,0.0006,3.0885,3f8f6856
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,17.3,290.00,Market,0.0006,3.0102,c87588f5
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.79,290.00,Market,0.0006,0.13746,18127c0d
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,1.09,290.00,Market,0.0006,0.18966,5978bfae
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,3.45,290.00,Market,0.0006,0.6003,c1595872
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,1.73,290.00,Market,0.0006,0.30102,d6c1dad9
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.33,290.00,Market,0.0006,0.05742,252f966c
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.28,290.00,Market,0.0006,0.04872,07bab7c6
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.9,289.95,Market,0.0006,0.156573,32ccb70b
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,1.21,289.95,Market,0.0006,0.2105037,d2183337
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,17.15,289.95,Market,0.0006,2.9835855,b3917102
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,9.08,289.95,Market,0.0006,1.5796476,da934348
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,16.91,289.95,Market,0.0006,2.9418327,21c137e4
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.62,289.95,Market,0.0006,0.1078614,b0670443
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,3.9,289.90,Market,0.0006,0.678366,b6c4a60a
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,1.86,289.90,Market,0.0006,0.3235284,4d53ec9d
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.18,289.90,Market,0.0006,0.0313092,5d46a46f
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.14,289.90,Market,0.0006,0.0243516,3e058ffd
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.27,289.90,Market,0.0006,0.0469638,987d76aa
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.09,289.85,Market,0.0006,0.0156519,2448a528
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,2.05,289.85,Market,0.0006,0.3565155,fc41b7ff
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,2.36,289.85,Market,0.0006,0.4104276,020e7e1d
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,1.71,289.85,Market,0.0006,0.2973861,0cb8776f
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,2.26,289.85,Market,0.0006,0.3930366,c424995e
BCHUSDT,3e67298f,2022-05-04 11:02:18,10,Close Short,Market,Trade,0.05,289.85,Market,0.0006,0.0086955,cc7369d1
NEARUSDT,0979baa2,2022-05-04 10:27:35,10,Open Short,Limit,Trade,1100,12.468,12.468,0.0001,1.37148,a0f6607a
BTCUSDT,850-Sell,2022-05-04 08:00:00,7,Open Short,--,Funding,0.922,38700.06,0.00,-0.0001,-3.56814553,57d55fb6
SANDUSDT,850-Sell,2022-05-04 08:00:00,7,Open Short,--,Funding,6840,2.2004,0.0000,1.955e-05,0.29424189,f01d245a
BCHUSDT,850-Sell,2022-05-04 08:00:00,10,Open Short,--,Funding,221.27,286.74,0.00,-0.0001,-6.34469598,5cef4148
BTCUSDT,850-Sell,2022-05-04 00:00:00,7,Open Short,--,Funding,0.922,37729.51,0.00,-0.0001,-3.47866082,69b5b613
BCHUSDT,850-Sell,2022-05-04 00:00:00,10,Open Short,--,Funding,221.27,279.41,0.00,-0.0001,-6.18250507,4186bdaf
SANDUSDT,850-Sell,2022-05-04 00:00:00,7,Open Short,--,Funding,6840,2.1316,0.0000,1.673e-05,0.24392581,429f358d
BTCUSDT,850-Sell,2022-05-03 16:00:00,7,Open Short,--,Funding,0.922,38325.53,0.00,-0.0001,-3.53361386,8d471ba0
BCHUSDT,850-Sell,2022-05-03 16:00:00,10,Open Short,--,Funding,221.27,283.93,0.00,-0.0001,-6.28251911,622e89f0
SANDUSDT,850-Sell,2022-05-03 16:00:00,7,Open Short,--,Funding,6840,2.1906,0.0000,-0.0001,-1.4983704,9edc5dc2
BCHUSDT,850-Sell,2022-05-03 08:00:00,10,Open Short,--,Funding,221.27,288.29,0.00,-0.0001,-6.37899283,3a58be97
