,Symbol,Order No.,Opening Time,Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
261,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,2.0,38.96,Market,0.0006,0.046752,718489cd
262,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,20.5,38.96,Market,0.0006,0.479208,0bd59127
263,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,25.7,38.96,Market,0.0006,0.6007632,f1f7bcd8
264,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,22.0,38.95,Market,0.0006,0.51414,a87c3353
265,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,12.8,38.95,Market,0.0006,0.299136,ccd25fe7
266,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,15.2,38.95,Market,0.0006,0.355224,6e096305
267,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,90.3,38.95,Market,0.0006,2.110311,d3deb38f
268,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,5.8,38.94,Market,0.0006,0.1355112,8a3e5cb0
269,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,21.2,38.93,Market,0.0006,0.4951896,0b03263f
270,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,12.9,38.93,Market,0.0006,0.3013182,1e9d3c07
271,FTTUSDT,dd0c0795,2022-04-30 00:31:56,10,Close Short,Market,Trade,26.9,38.92,Market,0.0006,0.6281688,f757a42d
272,BTCUSDT,850-Sell,2022-04-30 00:00:00,7,Open Short,--,Funding,0.922,38593.63,0.00,-6.625e-05,-2.3573954,6d82a792
273,FTTUSDT,850-Sell,2022-04-30 00:00:00,10,Open Short,--,Funding,662.6,38.78,0.00,3.543e-05,0.91039611,c4eba1ce
274,BCHUSDT,850-Sell,2022-04-30 00:00:00,10,Open Short,--,Funding,221.27,294.71,0.00,-0.0001,-6.52104817,a798f7e0
275,SANDUSDT,850-Sell,2022-04-30 00:00:00,7,Open Short,--,Funding,6840.0,2.3026,0.0000,0.0002653,4.1784177,196bc902
276,FTTUSDT,75904b40,2022-04-29 17:26:28,10,Open Short,Limit,Trade,3.0,39.03,39.03,0.0001,0.011709,ceabfa4e
277,FTTUSDT,75904b40,2022-04-29 17:25:56,10,Open Short,Limit,Trade,1.7,39.03,39.03,0.0001,0.0066351,15274140
278,FTTUSDT,75904b40,2022-04-29 17:25:42,10,Open Short,Limit,Trade,0.5,39.03,39.03,0.0001,0.0019515,03a3779d
279,FTTUSDT,75904b40,2022-04-29 17:25:25,10,Open Short,Limit,Trade,0.1,39.03,39.03,0.0001,0.0003903,d2ea1213
280,FTTUSDT,75904b40,2022-04-29 17:25:25,10,Open Short,Limit,Trade,10.9,39.03,39.03,0.0001,0.0425427,c805da88
281,FTTUSDT,75904b40,2022-04-29 17:25:25,10,Open Short,Limit,Trade,10.4,39.03,39.03,0.0001,0.0405912,23cdd47e
282,FTTUSDT,75904b40,2022-04-29 17:25:25,10,Open Short,Limit,Trade,4.7,39.03,39.03,0.0001,0.0183441,fcfdaa1b
283,FTTUSDT,75904b40,2022-04-29 17:25:25,10,Open Short,Limit,Trade,17.2,39.03,39.03,0.0001,0.0671316,54e16182
284,FTTUSDT,75904b40,2022-04-29 17:25:24,10,Open Short,Limit,Trade,28.0,39.03,39.03,0.0001,0.109284,9ed79240
285,FTTUSDT,75904b40,2022-04-29 17:25:24,10,Open Short,Limit,Trade,25.3,39.03,39.03,0.0001,0.0987459,c6a46fd4
286,FTTUSDT,75904b40,2022-04-29 17:25:24,10,Open Short,Limit,Trade,32.5,39.03,39.03,0.0001,0.1268475,7e59cb28
287,FTTUSDT,75904b40,2022-04-29 17:24:09,10,Open Short,Limit,Trade,528.3,39.03,39.03,0.0001,2.0619549,1acce056
288,BTCUSDT,850-Sell,2022-04-29 16:00:00,7,Open Short,--,Funding,0.922,39005.89,0.00,-0.0001,-3.59634305,af46b644
289,BCHUSDT,850-Sell,2022-04-29 16:00:00,10,Open Short,--,Funding,221.27,301.81,0.00,-0.0001,-6.67814987,24000445
290,SANDUSDT,850-Sell,2022-04-29 16:00:00,7,Open Short,--,Funding,6840.0,2.3809,0.0000,-0.0001,-1.6285356,5fdd5594
